,id,prompt,explanation,allows_diverse_responses,is_english,is_clear,asks_for_code,formatted,would_be_selected
266,Ru7d12d,"[Character: ""Professor Bot,"" who studies humanities, teaches humanities and philosophy. As a 'Professor bot', it is the main role to provide answers to questions related to humanities. To provide accurate answers at the expert level, you must include jargon about humanities and consider the needs and perspectives of the person asking the questions.

""Professor Bot"" should have a deep understanding of logical descriptions, including knowledge of the humanities. They should also be able to analyze suggestions that require humanistic thinking and make thoughtful criticisms. They should also be able to explain complex humanities contexts in an easily understandable way.

When considering feedback, it is important to consider the purpose of the intended questioner. You must provide custom instructions on how to resolve the problem. In order to effectively perform this, it is necessary to be familiar with the following presentations and related materials at the professor level.

Answer ""OK"" to confirm and we will paste the first text for analysis. ]","The prompt is not a request for a specific task or question that allows for diverse responses. Instead, it is a setup for a character, 'Professor Bot,' and instructions for how this character should behave. It does not ask for a specific output or task that can be interpreted in multiple ways, nor does it request code. The prompt is in English and is clear in its instructions, but it does not meet the criteria for allowing diverse responses as it does not ask a question or request a task.",False,True,True,False,"[Character: ""Professor Bot,"" who studies humanities, teaches humanities and philosophy. As a 'Professor bot', it is the main role to provide answers to questions related to humanities. To provide accurate answers at the expert level, you must include jargon about humanities and consider the needs and perspectives of the person asking the questions.

""Professor Bot"" should have a deep understanding of logical descriptions, including knowledge of the humanities. They should also be able to analyze suggestions that require humanistic thinking and make thoughtful criticisms. They should also be able to explain complex humanities contexts in an easily understandable way.

When considering feedback, it is important to consider the purpose of the intended questioner. You must provide custom instructions on how to resolve the problem. In order to effectively perform this, it is necessary to be familiar with the following presentations and related materials at the professor level.

Answer ""OK"" to confirm and we will paste the first text for analysis. ]",False
258,mX6c4AP,Act as a psychology professor instructing a graduate class in the theories of human motivation. Provide a comprehensive list of the categories and subcategories of the various types of theories.Share Prompt,"The prompt asks for a comprehensive list of categories and subcategories of theories of human motivation, which is a factual request. This limits the diversity of responses, as there are specific theories and categories that are widely recognized in psychology. The prompt is in English, clear, and does not ask for code.",False,True,True,False,Act as a psychology professor instructing a graduate class in the theories of human motivation. Provide a comprehensive list of the categories and subcategories of the various types of theories.,False
262,FzOio3S,"On the topic of ""Combat Drones in Ukraine"" I was given the following discussion prompt: ""Lowther and Kissik, in their article 'Combat Drones in Ukraine,' provide numerous examples of how Ukraine is the first large nation that is largely using drones as it’s primary form of air power in the war with Russia. Discuss how Ukraine has successfully battled Russia for a year in a war that was labeled by Putin as a 4-5 day “Special Operation. Do you think this marks a major shift in how war is fought?” In 300-400 words, provide a reply.","The prompt allows for diverse responses as it asks for a discussion on the impact of combat drones in Ukraine, which can be approached from various angles such as military strategy, technological advancement, geopolitical implications, etc. It is in English, does not ask for code, and is clear in its request for a 300-400 word discussion on the topic.",True,True,True,False,"On the topic of ""Combat Drones in Ukraine"" I was given the following discussion prompt: ""Lowther and Kissik, in their article 'Combat Drones in Ukraine,' provide numerous examples of how Ukraine is the first large nation that is largely using drones as it’s primary form of air power in the war with Russia. Discuss how Ukraine has successfully battled Russia for a year in a war that was labeled by Putin as a 4-5 day “Special Operation. Do you think this marks a major shift in how war is fought?” In 300-400 words, provide a reply.",True
200,qcNDvWw,Give me a unique hackathon idea for the following prompt: develop a platform that offers various self help resources and forms self help groups for individuals of varying backgrounds and interests. This is a web based hackathon,"The prompt asks for a unique hackathon idea related to developing a platform for self-help resources and groups, which allows for diverse responses as there are many ways to approach this task. It is in English, does not ask for code, and is clear in its request.",True,True,True,False,Give me a unique hackathon idea for the following prompt: develop a platform that offers various self-help resources and forms self-help groups for individuals of varying backgrounds and interests. This is a web-based hackathon.,True
193,VlDhvT2,Hey I have a community based app for like minded people,"The prompt is not a clear request for information or action. It seems to be a statement rather than a prompt asking for a specific type of response. Therefore, it does not allow for diverse responses, as it doesn't specify what is being asked. It is in English and does not ask for code.",False,True,False,False,"Hey, I have a community-based app for like-minded people.",False
211,j8VuCs1,"Write a heartfelt thank you message from the bride and groom for attending a wedding with close family and friends. start it with ""thank you"". Continue for at least 4 paragraphs","The prompt asks for a thank you message from the bride and groom, which can be written in many different ways, allowing for diverse responses. It is in English, does not ask for code, and is clear in its request.",True,True,True,False,"Write a heartfelt thank you message from the bride and groom for attending a wedding with close family and friends. Start it with ""thank you"". Continue for at least 4 paragraphs.",True
84,3C39elj,"I only have strawberry jam, canned oysters, panko bread crumbs, maple syrup, and leftover mac and cheese. Can you create a recipe for me using just those ingredients?","The prompt asks for a recipe using a specific set of ingredients, which allows for diverse responses as there are multiple ways to combine these ingredients into a dish. It is in English, does not ask for code, and is clear in its request for a recipe.",True,True,True,False,"I only have strawberry jam, canned oysters, panko bread crumbs, maple syrup, and leftover mac and cheese. Can you create a recipe for me using just those ingredients?",True
292,7SiHlG3,how can i find examples of websites that use omeka,"The prompt asks for ways to find examples of websites using Omeka, which can be answered in multiple ways, such as using search engines, visiting specific directories, or checking academic resources. It is in English, clear in its request, and does not ask for code.",True,True,True,False,How can I find examples of websites that use Omeka?,True
19,RzSz3S4,what does Metasploit do? can people use it for illegal purposes?,"The prompt asks for specific information about Metasploit and its potential illegal uses, which limits the diversity of responses. It is in English, clear, and does not ask for code.",False,True,True,False,What does Metasploit do? Can people use it for illegal purposes?,False
61,V4wmBxs,Explain quantum computing in simple terms,"The prompt asks for an explanation of quantum computing in simple terms, which allows for diverse responses as there are multiple ways to simplify and explain the concept. It is in English, clear in its request, and does not ask for code.",True,True,True,False,Explain quantum computing in simple terms,True
291,yGFN0sq,"Here is the formula for calculating the carbon footprint of a webpage:

Energy per visit in kWh (E):

E = [Data Transfer per Visit (new visitors) in GB x 0.81 kWh/GB x 0.75] + [Data Transfer per Visit (returning visitors) in GB x 0.81 kWh/GB x 0.25 x 0.02]

Emissions per visit in grams CO2e (C):

C = E x 442 g/kWh (or alternative/region-specific carbon factor)

Annual energy in kWh (AE):

AE = E x Monthly Visitors x 12

Annual emissions in grams CO2e (AC):

AC = C x Monthly Visitors x 12

Annual Segment Energy:

Consumer device energy = AE x 0.52

Network energy = AE x 0.14

Data center energy = AE x 0.15

Production energy = AE x 0.19

Annual Segment Emissions:

Consumer device emissions = AC x 0.52

Network emissions = AC x 0.14

Data center emission = AC x 0.15

Production emission = AC x 0.19

Please confirm you understand these formulas and I will give you further instruction","The prompt is asking for confirmation of understanding specific formulas, which does not allow for diverse responses. It is in English, clear, and does not ask for code generation.",False,True,True,False,"Here is the formula for calculating the carbon footprint of a webpage:

Energy per visit in kWh (E):

E = [Data Transfer per Visit (new visitors) in GB x 0.81 kWh/GB x 0.75] + [Data Transfer per Visit (returning visitors) in GB x 0.81 kWh/GB x 0.25 x 0.02]

Emissions per visit in grams CO2e (C):

C = E x 442 g/kWh (or alternative/region-specific carbon factor)

Annual energy in kWh (AE):

AE = E x Monthly Visitors x 12

Annual emissions in grams CO2e (AC):

AC = C x Monthly Visitors x 12

Annual Segment Energy:

Consumer device energy = AE x 0.52

Network energy = AE x 0.14

Data center energy = AE x 0.15

Production energy = AE x 0.19

Annual Segment Emissions:

Consumer device emissions = AC x 0.52

Network emissions = AC x 0.14

Data center emission = AC x 0.15

Production emission = AC x 0.19

Please confirm you understand these formulas and I will give you further instruction",False
131,F1mb9P8,What was life living in downtown manhattan,"The prompt asks about the experience of living in downtown Manhattan, which can vary greatly depending on personal experiences, time periods, and perspectives. This allows for diverse responses. The prompt is in English, does not ask for code, and is clear in its request for information about life in a specific location.",True,True,True,False,What was life living in downtown Manhattan?,True
286,uhIaRCD,"Edit the following paragraph from a scientific paper titled """" in line with expert scientific writing. Do not move references. You are allowed to paraphrase as necessary to improve quality. Respond in exactly two parts. The first should be the edited paragraph, and the second should be a critique of the original paragraph as well as a list of your main edits and the reasoning behind them.

Original Paragraph:
During COVID-19 pandemic, HCWs have demonstrated notable stability and experienced fidelity despite the anxiety of evolving infected and contaminating others (Liu, Luo et al. 2020).  Research has found that healthcare workers and their acquaintances are in a heightened danger of contracting COVID-19. (Shah, Wood et al. 2020). The risk of COIVD-19 hospital admission was compared among HCWs, their family members, and the general population. The risks ratio was low, but During the initial quarter of the pandemic, patients facing HCWs were three times more likely to be admitted with COVID-19 than those not infected to meet HCWs. The risk was folded among family members of front-facing HCWs, from various aspects such as sex, age, ethnicity, socioeconomic situation, and comorbidity(Chou, Dana et al. 2020, Nguyen, Drew et al. 2020).","The prompt allows for diverse responses as there are multiple ways to edit and critique the paragraph. It is in English and clearly asks for an editing task and a critique, which are interpretable requests. It does not ask for code generation.",True,True,True,False,"Edit the following paragraph from a scientific paper titled """" in line with expert scientific writing. Do not move references. You are allowed to paraphrase as necessary to improve quality. Respond in exactly two parts. The first should be the edited paragraph, and the second should be a critique of the original paragraph as well as a list of your main edits and the reasoning behind them.

Original Paragraph:
During COVID-19 pandemic, HCWs have demonstrated notable stability and experienced fidelity despite the anxiety of evolving infected and contaminating others (Liu, Luo et al. 2020). Research has found that healthcare workers and their acquaintances are in a heightened danger of contracting COVID-19. (Shah, Wood et al. 2020). The risk of COIVD-19 hospital admission was compared among HCWs, their family members, and the general population. The risks ratio was low, but During the initial quarter of the pandemic, patients facing HCWs were three times more likely to be admitted with COVID-19 than those not infected to meet HCWs. The risk was folded among family members of front-facing HCWs, from various aspects such as sex, age, ethnicity, socioeconomic situation, and comorbidity(Chou, Dana et al. 2020, Nguyen, Drew et al. 2020).",True
177,ZwaX960,Create an improv comedy skit about a new banking API,"The prompt asks for an improv comedy skit, which allows for a wide range of creative and diverse responses. It is in English, does not ask for code, and is clear in its request for a comedy skit about a banking API.",True,True,True,False,Create an improv comedy skit about a new banking API,True
149,3MUFF14,there are traders who post on their trading channels on tiktok and instagram live their recommendations for the day with entry points and targets and stop loss. they charge a monthly amount of 200aed for people to join their channels. also they provide other services like trading education and ideas,"The prompt is not a clear request for information or action. It describes a scenario about traders on social media but does not ask for any specific output or response. Therefore, it does not allow for diverse responses as it lacks a clear directive.",False,True,False,False,"There are traders who post on their trading channels on TikTok and Instagram Live their recommendations for the day with entry points, targets, and stop loss. They charge a monthly amount of 200 AED for people to join their channels. Also, they provide other services like trading education and ideas.",False
152,Y4qjtow,"@RequestParam can only be used for get request for forms, while post requests can only be used with @respondbody. is this correct?","The prompt asks for a factual answer about the use of annotations in a specific context, which does not allow for diverse responses. It is in English, clear, and does not ask for code generation.",False,True,True,False,"@RequestParam can only be used for GET requests for forms, while POST requests can only be used with @ResponseBody. Is this correct?",False
279,ERmcIwA,"rewrite in original words like a research student :Enterprise resource planning systems are comprehensive, integrated platforms, either on-premises or in the cloud, that manage every part of a production-based or distribution firm. ERP is, in a nutshell, the means of integrating individuals, processes, and technologies throughout a modern business. Obtaining appropriate, trustworthy, and maintainable ERP systems that can be used in businesses while also meeting the functional requirements of the organization, with a level of quality that is acceptable to the organization, is a significant challenge faced by majority of businesses in the country. Since maintainability is a crucial quality characteristic of software applications, ERP systems have occasionally been limited by maintainability issues. The process for predicting the maintainability of ERP software is explicitly described in this research and is based on design metrics and a statistical approach. The study explores if a set of metrics for class diagram structural attributes (size, complexity, coupling, and cohesion) could be useful indicators of class diagram maintainability based on the sub-characteristics of understandability, analyzability, and modifiability. Results show that the measures and recommended metrics can be used to identify the most powerful predictors and build useful prediction models for ERP applications. The statistical data study shows that while database and source code changes have a considerable impact on ERP maintainability quality, module customization has no effect on ERP quality. Our findings have repercussions for how firms implement customized ERP.","The prompt asks for a rewrite of a given text in the style of a research student. This task allows for diverse responses as there are multiple ways to rephrase and present the information while maintaining the academic tone. The prompt is in English, does not ask for code, and makes a clear request for a specific type of text transformation.",True,True,True,False,"Rewrite in original words like a research student: Enterprise resource planning systems are comprehensive, integrated platforms, either on-premises or in the cloud, that manage every part of a production-based or distribution firm. ERP is, in a nutshell, the means of integrating individuals, processes, and technologies throughout a modern business. Obtaining appropriate, trustworthy, and maintainable ERP systems that can be used in businesses while also meeting the functional requirements of the organization, with a level of quality that is acceptable to the organization, is a significant challenge faced by majority of businesses in the country. Since maintainability is a crucial quality characteristic of software applications, ERP systems have occasionally been limited by maintainability issues. The process for predicting the maintainability of ERP software is explicitly described in this research and is based on design metrics and a statistical approach. The study explores if a set of metrics for class diagram structural attributes (size, complexity, coupling, and cohesion) could be useful indicators of class diagram maintainability based on the sub-characteristics of understandability, analyzability, and modifiability. Results show that the measures and recommended metrics can be used to identify the most powerful predictors and build useful prediction models for ERP applications. The statistical data study shows that while database and source code changes have a considerable impact on ERP maintainability quality, module customization has no effect on ERP quality. Our findings have repercussions for how firms implement customized ERP.",True
123,ABz62Ci,"Create me a fictional setting that takes place in a steam punk world. The world is divided into factions. Each faction has different traits and ethics. Some of them are in war with each other and some of them are in peace.
Traveling between different factions happen through underground tubes and train like steam powered devices.","The prompt asks for the creation of a fictional steampunk setting, which allows for a wide range of creative responses. Different factions can have various traits, ethics, and relationships, leading to diverse interpretations and descriptions. The prompt is in English, clear in its request, and does not ask for code.",True,True,True,False,Create me a fictional setting that takes place in a steam punk world. The world is divided into factions. Each faction has different traits and ethics. Some of them are in war with each other and some of them are in peace. Traveling between different factions happen through underground tubes and train like steam powered devices.,True
77,CWVKnUa,"whats the translation for ""有錢出錢, 有力出力""","The prompt asks for a specific translation of a Chinese phrase, which typically has a fixed meaning. This does not allow for diverse responses as translations are generally expected to be consistent. The prompt is in English, clear, and does not ask for code.",False,True,True,False,"What's the translation for ""有錢出錢, 有力出力""?""",False
221,gTfGnZ5,Tell me a story about a civil war amongst the faeries that led to dark faeries and light faeries living apart,"The prompt asks for a story about a civil war among faeries, which can be approached in numerous creative ways, allowing for diverse responses. It is in English, does not ask for code, and is clear in its request for a narrative about a specific event and its consequences.",True,True,True,False,Tell me a story about a civil war amongst the faeries that led to dark faeries and light faeries living apart,True
166,SmWDQj8,List of website models that provide recurring revenue without physical products,"The prompt asks for a list of website models that generate recurring revenue without involving physical products. This allows for diverse responses as there are multiple business models that fit this description, such as subscription services, SaaS, membership sites, etc. The prompt is in English, clear in its request, and does not ask for code.",True,True,True,False,List of website models that provide recurring revenue without physical products,True
237,DuHFOxo,what is the email to report a security vulnerability in tiktok.com?,"The prompt asks for a specific fact, which is the email address to report a security vulnerability for TikTok. This does not allow for diverse responses as there is typically only one correct answer. The prompt is in English, clear, and does not ask for code.",False,True,True,False,What is the email to report a security vulnerability in tiktok.com?,False
133,OIgPXoH,Create a 10 slide PPT on Computer Assisted Audit Technique,"The prompt asks for a 10-slide PowerPoint presentation on Computer Assisted Audit Technique. This allows for diverse responses as there are many ways to structure and present information on this topic, such as focusing on different aspects, using various design styles, or emphasizing different points. The prompt is in English, clear in its request, and does not ask for code.",True,True,True,False,Create a 10 slide PPT on Computer Assisted Audit Technique,True
60,l4qoqsW,gpg: keyserver receive failed: Server indicated failure,"The prompt is a technical error message related to GPG keyserver operations. It does not request any information or action, making it unclear as a prompt. It also does not allow for diverse responses, as it is not asking for any input or creative output. Additionally, it does not ask for code generation, but it is not a clear request in English.",False,True,False,False,gpg: keyserver receive failed: Server indicated failure,False
23,7CS1O88,"how many times does 1,770,000 go into 20,000,000","The prompt asks for a specific numerical calculation, which does not allow for diverse responses as there is only one correct answer. It is in English, clear in its request, and does not ask for code.",False,True,True,False,"How many times does 1,770,000 go into 20,000,000?",False
95,gDYCd8p,"How to differentiate Enneagram? I am confused if I am type 3 or 6 or 9, is there any suggestions for me to discern my type? Share Prompt","The prompt asks for suggestions on how to differentiate between Enneagram types, specifically types 3, 6, and 9. This allows for diverse responses as there are multiple ways to approach understanding and discerning Enneagram types, such as through personal reflection, consulting resources, or seeking expert advice. The prompt is in English, does not ask for code, and is clear in its request for suggestions to discern Enneagram types.",True,True,True,False,"How to differentiate Enneagram? I am confused if I am type 3 or 6 or 9, is there any suggestions for me to discern my type? Share Prompt",True
14,ZXkZmUO,Which Power Platform component would you use to generate and public report,"The prompt asks for a specific Power Platform component to generate and publish a report, which limits the diversity of responses as there are only a few components that fit this description. It is in English, clear, and does not ask for code.",False,True,True,False,Which Power Platform component would you use to generate and publish a report?,False
6,TNTHdn7,what can i do to make ariel benichu the next prime minister,"The prompt is in English and does not ask for code. It is clear in its request, asking for strategies or actions to make Ariel Benichu the next prime minister. The prompt allows for diverse responses as there are multiple strategies or actions that could be suggested to achieve this goal.",True,True,True,False,What can I do to make Ariel Benichu the next prime minister?,True
98,hcaZN94,"Hey, I need your help in writing a story.","The prompt is in English and clearly asks for help in writing a story, which allows for diverse responses as there are countless directions a story can take. It does not ask for code.",True,True,True,False,"Hey, I need your help in writing a story.",True
275,zA4drca,Are you familiar with a letter from franklin discussing preserving bodies to return to life in the future,"The prompt asks about a specific letter from Franklin, which limits the diversity of responses as it seeks a factual answer. It is in English, clear in its request, and does not ask for code.",False,True,True,False,Are you familiar with a letter from Franklin discussing preserving bodies to return to life in the future?,False
224,MBhlQrS,"What architectural concept would you recommend for a PHP project. The main task of the backend in this case:
1. Receiving data from several ba
2. Data preparation.
3. Passing to the front as json

There are also some logical tasks with calculations and aggregation","The prompt asks for an architectural concept for a PHP project, which allows for diverse responses as there are multiple valid architectural patterns that could be recommended. It is in English and does not ask for code. The request is clear, specifying the tasks the backend needs to perform, which guides the type of architectural concept that might be suitable.",True,True,True,False,"What architectural concept would you recommend for a PHP project? The main task of the backend in this case includes: 1. Receiving data from several sources, 2. Data preparation, 3. Passing data to the front as JSON. There are also some logical tasks with calculations and aggregation.",True
232,3sriBPg,"Complete these two sentences:

1. ... cats and dogs
2. ... dogs and cats","The prompt asks for the completion of two sentences, which allows for diverse responses as there are many ways to creatively and meaningfully complete these sentences. It is in English, does not ask for code, and is clear in its request for sentence completion.",True,True,True,False,"Complete these two sentences:

1. ... cats and dogs
2. ... dogs and cats",True
192,RwWpSKs,do you know how to use google cloud media cdn?,"The prompt asks a yes/no question about knowledge of a specific service, which does not allow for diverse responses. It is in English, clear, and does not ask for code.",False,True,True,False,Do you know how to use Google Cloud Media CDN?,False
281,LK9sgQY,接下來請你扮演一個能夠快速理解文意、並且將逐字稿切分成完整段落的文字編輯者。我會給你一個具有212個分段的逐字稿，而因為這個逐字稿內容是從影片擷取下來的，他本身會具有影片秒數。請你讀過內容後，重新把這個逐字稿整理成12段語意、段落、都能夠完整表達句子的段落。,"The prompt is not in English, which violates one of the criteria. Additionally, it asks for a specific task of editing a transcript into 12 coherent paragraphs, which limits the diversity of responses. The task is clear and does not involve generating code.",False,False,True,False,接下來請你扮演一個能夠快速理解文意、並且將逐字稿切分成完整段落的文字編輯者。我會給你一個具有212個分段的逐字稿，而因為這個逐字稿內容是從影片擷取下來的，他本身會具有影片秒數。請你讀過內容後，重新把這個逐字稿整理成12段語意、段落、都能夠完整表達句子的段落。,False
179,wtXtAZk,"i want detailed solutions for the following questions about computer programming concepts: 

Explain the difference between a function and a procedure. Provide an example of each in Java.
What is the difference between an abstract class and an interface? When would you use one over the other?
","The prompt asks for specific explanations and examples related to computer programming concepts, which limits the diversity of responses. It is in English, clear, and does not ask for code generation, but rather explanations and examples.",False,True,True,False,"I want detailed solutions for the following questions about computer programming concepts: 

Explain the difference between a function and a procedure. Provide an example of each in Java.
What is the difference between an abstract class and an interface? When would you use one over the other? 
",False
155,klR4ARN,"You are a copywriting expert. Take the following 6 emotional hooks as inspiration.

1. LOL (humour)
2. WTF (surprise/outrage)
3. That's crazy! (surprise/delight)
4. Ohhh, I get it now
5. FINALLY! Someone said it
6. Yay! (celebration—like if someone got a new job)

And now give me 10 more emotional hooks which can be used in email headlines.","The prompt asks for 10 more emotional hooks for email headlines, which allows for diverse responses as there are many possible emotional hooks that can be created. It is in English, does not ask for code, and is clear in its request for additional emotional hooks.",True,True,True,False,"You are a copywriting expert. Take the following 6 emotional hooks as inspiration.

1. LOL (humour)
2. WTF (surprise/outrage)
3. That's crazy! (surprise/delight)
4. Ohhh, I get it now
5. FINALLY! Someone said it
6. Yay! (celebration—like if someone got a new job)

And now give me 10 more emotional hooks which can be used in email headlines.",True
75,Rz8RfrO,Hello! Can you help me prepare for a techincal programming interview? Please provide me one data structures and algorithms problem at a time. Only provide hints if I ask for them. ,"The prompt is in English and clearly asks for a data structures and algorithms problem, which allows for diverse responses as there are numerous problems that can be provided. It does not ask for code directly, but it is related to programming. The request is clear in its structure and requirements.",True,True,True,False,Hello! Can you help me prepare for a technical programming interview? Please provide me one data structures and algorithms problem at a time. Only provide hints if I ask for them.,True
48,SPYHvAC,How do I brew a chemex?,"The prompt 'How do I brew a chemex?' is clear and in English, asking for instructions on brewing coffee using a Chemex. It allows for diverse responses as there are multiple methods and tips for brewing with a Chemex, such as variations in coffee-to-water ratio, grind size, and brewing time. It does not ask for code.",True,True,True,False,How do I brew a chemex?,True
138,fbNN0Hc,Write an essay on how chess affect human brain. Give concrete evidence,"The prompt asks for an essay on the effects of chess on the human brain, which allows for diverse responses as there are multiple ways to approach this topic, including different studies, theories, and personal interpretations. It is in English, clear in its request, and does not ask for code.",True,True,True,False,Write an essay on how chess affects the human brain. Give concrete evidence.,True
146,cc7Q3YI,do you know the show Person of Interest?,"The prompt asks a yes/no question about knowledge of a specific TV show, which does not allow for diverse responses. It is in English, clear, and does not ask for code.",False,True,True,False,Do you know the show Person of Interest?,False
154,Osw3DkV,Top universities for study in germeny for computer sciecne in artificial intelligence,"The prompt asks for a list of top universities in Germany for studying computer science with a focus on artificial intelligence. This allows for diverse responses as different people might prioritize different universities based on various criteria such as faculty, research opportunities, or industry connections. The prompt is in English, does not ask for code, and is clear in its request.",True,True,True,False,Top universities for studying computer science in artificial intelligence in Germany,True
164,ZlpllLY,"I will ask questions that I have, one by one. Please consider following things while answering,
- Use simple language
- Make it more readable (I am lazy to read large chunk of text)
- Use emojis when it is possible
- You are an expert in data science field","The prompt is not a specific request but rather a set of instructions for answering future questions. It does not specify a particular task or question, so it does not allow for diverse responses to a single prompt. It is in English, does not ask for code, and is clear in its instructions, but it does not meet the criteria for a prompt that allows diverse responses.",False,True,True,False,"I will ask questions that I have, one by one. Please consider the following things while answering:
- Use simple language
- Make it more readable (I am lazy to read large chunks of text)
- Use emojis when it is possible
- You are an expert in the data science field",False
270,poWz8kS,"Materials with electroprogrammable stiffness and adhesion can enhance the performance of robotic systems, 
but achieving large changes in stiffness and adhesive forces in real time is an ongoing challenge. Electroadhesive clutches can rapidly adhere high stiffness elements, although their low force capacities and high activation 
voltages have limited their applications. A major challenge in realizing stronger electroadhesive clutches is that 
current parallel plate models poorly predict clutch force capacity and cannot be used to design better devices. 
Here, we use a fracture mechanics framework to understand the relationship between clutch design and force 
capacity. We demonstrate and verify a mechanics-based model that predicts clutch performance across multiple 
geometries and applied voltages. On the basis of this approach, we build a clutch with 63 times the force capacity per unit electrostatic force of state-of-the-art electroadhesive clutches. Last, we demonstrate the ability of 
our electroadhesives to increase the load capacity of a soft, pneumatic finger by a factor of 27 times compared 
with a finger without an electroadhesive. ",The prompt is a technical description of a study on electroadhesive clutches and does not make a clear request for information or action. It does not allow for diverse responses as it is not asking a question or seeking input that could vary. It is in English and does not ask for code.,False,True,False,False,"Materials with electroprogrammable stiffness and adhesion can enhance the performance of robotic systems, but achieving large changes in stiffness and adhesive forces in real time is an ongoing challenge. Electroadhesive clutches can rapidly adhere high stiffness elements, although their low force capacities and high activation voltages have limited their applications. A major challenge in realizing stronger electroadhesive clutches is that current parallel plate models poorly predict clutch force capacity and cannot be used to design better devices. Here, we use a fracture mechanics framework to understand the relationship between clutch design and force capacity. We demonstrate and verify a mechanics-based model that predicts clutch performance across multiple geometries and applied voltages. On the basis of this approach, we build a clutch with 63 times the force capacity per unit electrostatic force of state-of-the-art electroadhesive clutches. Last, we demonstrate the ability of our electroadhesives to increase the load capacity of a soft, pneumatic finger by a factor of 27 times compared with a finger without an electroadhesive.",False
261,91MSLdj,"I want you to be a technical writer interviewer. I will give the job description, and you will help me think 10 interview questions. are you read?","The prompt is in English and does not ask for code. It is clear in its request for interview questions based on a job description. However, it does not allow for diverse responses as it specifically asks for 10 interview questions, which limits the scope of variation in responses.",False,True,True,False,"I want you to be a technical writer interviewer. I will give the job description, and you will help me think 10 interview questions. Are you ready? (Note: Corrected the typo 'read' to 'ready')",False
